episodio,reward_total,epsilon,buffer,loss
1,-0.2221843003412421,0.9801495006250001,69,1.3731646239757538
2,9.47986577181187,0.5264466124450268,194,1.4616972799262693
3,10.775862068965198,0.2827589419554058,319,1.1360574282946125
4,-0.08966789667894415,0.16291280823111093,430,0.9351158235560764
5,4.311846689895363,0.08750185146499175,555,1.0839323247632673
6,13.041516245487006,0.049911691230058335,680,1.2084360067402162
7,-0.16086956521733037,0.049911691230058335,753,1.1452974304556847
8,-0.01228070175438245,0.049911691230058335,870,0.9611413236065157
9,15.69148936170172,0.049911691230058335,995,0.9501681505672394
10,12.49999999999973,0.049911691230058335,1120,1.013104015540692
11,21.555118110235917,0.049911691230058335,1245,1.018836485041726
12,11.55660377358455,0.049911691230058335,1370,1.070212494461767
13,4.9028268551234415,0.049911691230058335,1495,1.0149602019979107
14,3.316326530612026,0.049911691230058335,1620,0.9490863841868216
15,13.041516245487013,0.049911691230058335,1745,0.9437584302598431
16,-0.14111498257847155,0.049911691230058335,1850,1.0458381809294224
17,-5.440092820663267e-14,0.049911691230058335,1950,0.8900497098161717
18,1.645907473309446,0.049911691230058335,2075,0.8949513596392447
19,37.768817204300866,0.049911691230058335,2200,0.9335386690593535
20,37.842465753424285,0.049911691230058335,2325,0.959690067075914
21,18.22755417956614,0.049911691230058335,2450,1.0448746243792195
22,-17.488448844883635,0.049911691230058335,2561,0.9201990582726218
23,65.37915194346337,0.049911691230058335,2635,12.72776931197676
24,31.26790830945518,0.049911691230058335,2760,11.156951564454264
25,81.90298507462843,0.049911691230058335,2885,7.347249659319078
26,13.455414012738476,0.049911691230058335,3010,6.165102748140212
27,35.833333333332924,0.049911691230058335,3135,6.670615114992665
28,-0.14111498257846444,0.049911691230058335,3240,5.329571770933958
29,13.224637681159045,0.049911691230058335,3365,4.570431733804364
30,30.241935483870563,0.049911691230058335,3490,6.145424219389116
31,-0.2564263322883421,0.049911691230058335,3564,6.5305925076954985
32,-0.07030716723562347,0.049911691230058335,3678,5.287180318241626
33,-0.09968454258681558,0.049911691230058335,3794,4.390087532737981
34,-0.05263157894733017,0.049911691230058335,3849,4.9652548642070204
35,-0.14193548387105503,0.049911691230058335,3957,4.97029227352588
36,45.83333333333343,0.049911691230058335,4082,4.772364189067194
37,31.998069498069043,0.049911691230058335,4207,3.1861994713544846
38,-0.2210526315789974,0.049911691230058335,4313,5.562338394210452
39,-0.20291970802924736,0.049911691230058335,4411,5.198484202021176
40,-0.017241379310477756,0.049911691230058335,4526,3.897398157600771
41,43.245341614906444,0.049911691230058335,4651,2.194575050184804
42,79.55685618729207,0.049911691230058335,4776,1.8849524139396605
43,41.66666666666627,0.049911691230058335,4901,5.134937058052709
44,55.68996415770677,0.049911691230058335,5026,3.083976277420598
45,126.06877323420167,0.049911691230058335,5151,3.885688355372798
46,-0.1545454545454203,0.049911691230058335,5200,3.8947338573634624
47,38.36206896551685,0.049911691230058335,5325,3.6542385879062835
48,27.016129032257624,0.049911691230058335,5450,2.985552547920135
49,12.85971223021555,0.049911691230058335,5575,3.040114143202382
50,42.13357664233632,0.049911691230058335,5649,2.7234921047132308
51,35.670731707316634,0.049911691230058335,5774,2.6797615679041034
52,87.97528517110318,0.049911691230058335,5899,4.593197927840294
53,29.40140845070384,0.049911691230058335,6024,5.213401302695274
54,176.5468227424766,0.049911691230058335,6149,6.619611494964169
55,-0.07808219178088405,0.049911691230058335,6252,2.489979431325314
56,24.038461538461135,0.049911691230058335,6377,4.04261669083949
57,2.941176470588005,0.049911691230058335,6502,3.9342996449239793
58,31.21282051282006,0.049911691230058335,6633,5.093193187621924
59,-0.07777777777793671,0.049911691230058335,6749,3.2578736865002176
