episodio,reward_total,epsilon,buffer,loss
1,-0.15708502024286702,0.985074875,68,1.7005747159322102
2,9.479865771811944,0.5290920728090721,193,1.5960611917318837
3,-0.16261682242989978,0.33195389135223546,287,1.0073096819462315
4,43.93322475569997,0.17829525136613786,412,0.9369227727574687
5,31.944444444444102,0.09576389217857617,537,0.994518002915767
6,165.15151515151766,0.049911691230058335,871,1.2679484321011438
7,21.11428571428562,0.049911691230058335,1003,1.4997008781851704
8,31.15671641791011,0.049911691230058335,1128,1.5881727169598303
9,164.85057034220836,0.049911691230058335,1415,1.547199383273825
10,36.944680851063225,0.049911691230058335,1611,1.600336900429848
11,174.9140893470822,0.049911691230058335,1945,1.6876003006557088
12,-0.06666666666671017,0.049911691230058335,2043,1.694385149429754
13,53.092334494773326,0.049911691230058335,2168,1.6678949084974104
14,-0.25369774919612464,0.049911691230058335,2201,1.7461885698139668
15,43.32634730538891,0.049911691230058335,2346,1.6150143763257399
16,5.821299638988986,0.049911691230058335,2471,1.6876509891402336
17,-0.2764331210190677,0.049911691230058335,2525,1.6708337518404115
18,-0.11496062992120637,0.049911691230058335,2591,1.5531719501201924
19,68.10324909747362,0.049911691230058335,2725,1.523640745564511
20,22.149122807017136,0.049911691230058335,2850,1.579656181316222
21,274.1258741258749,0.049911691230058335,3184,1.648256690115542
22,275.838926174499,0.049911691230058335,3518,1.7116428329063966
23,6.136363636363475,0.049911691230058335,3643,1.7427405743829665
24,131.5121387283257,0.049911691230058335,3879,1.700786033843426
25,23.431899641576898,0.049911691230058335,4004,1.7642866613403443
26,97.51419141914292,0.049911691230058335,4152,1.7438893760142684
27,68.3020477815706,0.049911691230058335,4277,1.6906256579583692
28,248.38709677419712,0.049911691230058335,4611,1.7515288000708227
29,19.103773584905234,0.049911691230058335,4736,1.7226723182585932
30,302.5739130434755,0.049911691230058335,5068,1.8137646277865613
31,154.40971786834086,0.049911691230058335,5337,1.900809590496234
32,29.637809187278663,0.049911691230058335,5462,1.8555322106807464
33,146.2798586572452,0.049911691230058335,5634,1.8379194192719042
34,96.72209737827797,0.049911691230058335,5786,1.8134528390619138
35,19.35618729096955,0.049911691230058335,5911,1.8232746393449846
36,110.74965034965093,0.049911691230058335,6043,1.9318615798731797
37,111.01749174917556,0.049911691230058335,6256,1.837982401532947
38,9.01162790697646,0.049911691230058335,6381,1.7775448680885377
39,73.22664359861656,0.049911691230058335,6506,1.7837917016398521
40,11.189138576778676,0.049911691230058335,6631,1.818499732402063
41,364.44661654134626,0.049911691230058335,6945,1.888393687935302
42,38.10137457044639,0.049911691230058335,7070,1.868907856364404
43,78.02346570397239,0.049911691230058335,7195,1.837734563696769
44,155.23333333333522,0.049911691230058335,7372,1.8449859151786023
45,-0.28823529411773496,0.049911691230058335,7471,1.914526115874855
46,444.77242524916477,0.049911691230058335,7716,1.977249240288969
47,339.3075601374526,0.049911691230058335,7971,1.9316617456946785
48,270.3090909090898,0.049911691230058335,8173,1.9524519496889257
